run_id,ext_period,rep,seed,generations_run,final_mean_mut,final_mean_ecm,extinctions
ext0_01,0,1,810338302,1000,0.385,0.4033,[]
ext0_03,0,3,1057267260,1000,0.1135,0.6777,[]
ext0_00,0,0,1699805473,1000,0.6849,0.5243,[]
ext0_02,0,2,2415354125,1000,0.0837,0.3409,[]
ext200_03,200,3,395910880,1000,0.2527,0.5236,"[200, 400, 600, 800]"
ext200_00,200,0,936268163,1000,0.2619,0.3669,"[200, 400, 600, 800]"
ext200_01,200,1,3614585961,1000,0.218,0.7513,"[200, 400, 600, 800]"
ext0_04,0,4,1267395441,1000,0.0892,0.7861,[]
ext0_05,0,5,3706738752,1000,0.2783,0.5277,[]
ext200_04,200,4,1108222217,1000,0.2557,0.5141,"[200, 400, 600, 800]"
ext200_02,200,2,241601693,1000,0.4156,0.1165,"[200, 400, 600, 800]"
ext0_06,0,6,3329829485,1000,0.1183,0.4602,[]
ext200_05,200,5,1355171457,1000,0.4208,0.3082,"[200, 400, 600, 800]"
ext0_07,0,7,3205299074,1000,0.0565,0.1917,[]
ext200_06,200,6,1122105489,1000,0.7129,0.8101,"[200, 400, 600, 800]"
ext0_08,0,8,1359241090,1000,0.1688,0.3097,[]
ext0_09,0,9,2719820957,1000,0.2541,0.5932,[]
ext200_07,200,7,1671229506,1000,0.1323,0.2724,"[200, 400, 600, 800]"
ext200_08,200,8,565517678,1000,0.2136,0.4976,"[200, 400, 600, 800]"
ext0_10,0,10,2226679066,1000,0.3535,0.6391,[]
ext0_11,0,11,3023782153,1000,0.1246,0.3005,[]
ext200_10,200,10,2237772135,1000,0.2996,0.8749,"[200, 400, 600, 800]"
ext0_12,0,12,3384619849,1000,0.0659,0.1419,[]
ext200_09,200,9,1335242771,1000,0.206,0.6224,"[200, 400, 600, 800]"
ext0_13,0,13,1431249772,1000,0.0979,0.2613,[]
ext200_12,200,12,1694461422,1000,0.4485,0.1887,"[200, 400, 600, 800]"
ext200_11,200,11,1644906294,1000,0.3002,0.6498,"[200, 400, 600, 800]"
ext0_15,0,15,1996000954,1000,0.0346,0.8849,[]
ext0_14,0,14,1841815184,1000,0.1689,0.6669,[]
ext200_13,200,13,1542376981,1000,0.3539,0.7275,"[200, 400, 600, 800]"
ext0_17,0,17,1310734683,1000,0.1892,0.174,[]
ext200_14,200,14,4082697385,1000,0.4486,0.4447,"[200, 400, 600, 800]"
ext0_16,0,16,912990095,1000,0.5048,0.5369,[]
ext0_18,0,18,3963510622,1000,0.2778,0.5215,[]
ext200_17,200,17,681719790,1000,0.1153,0.7522,"[200, 400, 600, 800]"
ext200_16,200,16,3133941391,1000,0.2258,0.2571,"[200, 400, 600, 800]"
ext200_15,200,15,3492767664,1000,0.6295,0.7409,"[200, 400, 600, 800]"
ext200_18,200,18,3304294437,1000,0.5643,0.1346,"[200, 400, 600, 800]"
ext0_19,0,19,2854403187,1000,0.0498,0.4587,[]
ext200_19,200,19,802637548,1000,0.1934,0.7833,"[200, 400, 600, 800]"
